suite,id,index,head,width,wlimit,status,max,mean,p99,count,max_over_w,memo_size,tainted
knowledge,lfe_01_ackermann,0,defun,40,40,ok,3,1.2480,3,375,0.0750,433,58
knowledge,lfe_02_fizz,0,defun,40,40,ok,2,1.1127,2,204,0.0500,219,15
knowledge,lfe_03_buzz1,0,defun,40,40,ok,3,1.1255,3,239,0.0750,255,16
knowledge,lfe_04_tail_buzz,0,defun,40,40,ok,2,1.1134,2,291,0.0500,358,67
knowledge,lfe_05_plusplus,0,defmacro,40,40,ok,3,1.2101,3,257,0.0750,283,26
knowledge,lfe_06_cond,0,defmacro,40,40,ok,2,1.1364,2,352,0.0500,409,57
knowledge,lfe_07_bq_expand,0,eval-when-compile,40,40,ok,3,1.3109,3,521,0.0750,657,136
knowledge,lfe_08_ets_new,0,defun,40,40,ok,2,1.0254,2,236,0.0500,424,188
knowledge,lfe_09_by_place_ms,0,defun,40,40,ok,2,1.0651,2,169,0.0500,212,43
knowledge,lfe_10_mnesia_new,0,defun,40,40,ok,1,1.0000,1,45,0.0250,126,81
knowledge,lfe_11_guess_server,0,defun,40,40,ok,3,1.1016,2,246,0.0750,310,64
knowledge,lfe_12_ping_pong,0,progn,40,40,ok,2,1.0084,1,119,0.0500,258,139
knowledge,lfe_13_get_page,0,defun,40,40,ok,3,1.1708,2,445,0.0750,548,103
knowledge,lfe_14_fish_closure,0,defun,40,40,ok,2,1.0198,2,252,0.0500,342,90
knowledge,lfe_15_fish_process,0,defun,40,40,ok,2,1.0163,2,246,0.0500,333,87
knowledge,lfe_16_account,0,defun,40,40,ok,2,1.0095,1,317,0.0500,450,133
knowledge,lfe_17_eval_expr,0,defun,40,40,ok,3,1.2116,3,501,0.0750,593,92
knowledge,lfe_18_parse_bitspecs,0,defun,40,40,ok,2,1.0625,2,320,0.0500,445,125
knowledge,lfe_19_eval_lambda,0,defun,40,40,ok,3,1.1734,2,421,0.0750,499,78
knowledge,lfe_20_eval_receive,0,defun,40,40,ok,2,1.0365,2,137,0.0500,314,177
knowledge,lfe_01_ackermann,0,defun,80,80,ok,5,1.2663,5,492,0.0625,513,21
knowledge,lfe_02_fizz,0,defun,80,80,ok,3,1.0857,2,280,0.0375,280,0
knowledge,lfe_03_buzz1,0,defun,80,80,ok,3,1.1111,3,279,0.0375,279,0
knowledge,lfe_04_tail_buzz,0,defun,80,80,ok,4,1.1567,4,402,0.0500,421,19
knowledge,lfe_05_plusplus,0,defmacro,80,80,ok,5,1.2138,4,318,0.0625,318,0
knowledge,lfe_06_cond,0,defmacro,80,80,ok,4,1.1820,4,478,0.0500,499,21
knowledge,lfe_07_bq_expand,0,eval-when-compile,80,80,ok,4,1.2229,4,803,0.0500,949,146
knowledge,lfe_08_ets_new,0,defun,80,80,ok,4,1.1651,4,545,0.0500,641,96
knowledge,lfe_09_by_place_ms,0,defun,80,80,ok,2,1.0947,2,264,0.0250,288,24
knowledge,lfe_10_mnesia_new,0,defun,80,80,ok,2,1.1042,2,259,0.0250,323,64
knowledge,lfe_11_guess_server,0,defun,80,80,ok,3,1.0654,2,382,0.0375,447,65
knowledge,lfe_12_ping_pong,0,progn,80,80,ok,4,1.2819,4,447,0.0500,541,94
knowledge,lfe_13_get_page,0,defun,80,80,ok,4,1.2251,4,662,0.0500,744,82
knowledge,lfe_14_fish_closure,0,defun,80,80,ok,3,1.1752,3,428,0.0375,504,76
knowledge,lfe_15_fish_process,0,defun,80,80,ok,3,1.1615,3,421,0.0375,457,36
knowledge,lfe_16_account,0,defun,80,80,ok,3,1.1640,3,561,0.0375,690,129
knowledge,lfe_17_eval_expr,0,defun,80,80,ok,4,1.1834,3,687,0.0500,744,57
knowledge,lfe_18_parse_bitspecs,0,defun,80,80,ok,3,1.1985,3,549,0.0375,621,72
knowledge,lfe_19_eval_lambda,0,defun,80,80,ok,4,1.2220,4,590,0.0500,616,26
knowledge,lfe_20_eval_receive,0,defun,80,80,ok,3,1.0925,2,465,0.0375,603,138
knowledge,lfe_01_ackermann,0,defun,100,100,ok,5,1.2549,5,514,0.0500,543,29
knowledge,lfe_02_fizz,0,defun,100,100,ok,3,1.0857,2,280,0.0300,280,0
knowledge,lfe_03_buzz1,0,defun,100,100,ok,3,1.1111,3,279,0.0300,279,0
knowledge,lfe_04_tail_buzz,0,defun,100,100,ok,4,1.1479,4,426,0.0400,458,32
knowledge,lfe_05_plusplus,0,defmacro,100,100,ok,5,1.2138,4,318,0.0500,318,0
knowledge,lfe_06_cond,0,defmacro,100,100,ok,4,1.1751,4,497,0.0400,521,24
knowledge,lfe_07_bq_expand,0,eval-when-compile,100,100,ok,5,1.1922,4,947,0.0500,1071,124
knowledge,lfe_08_ets_new,0,defun,100,100,ok,5,1.1470,4,619,0.0500,699,80
knowledge,lfe_09_by_place_ms,0,defun,100,100,ok,3,1.0887,2,293,0.0300,293,0
knowledge,lfe_10_mnesia_new,0,defun,100,100,ok,3,1.1207,3,348,0.0300,375,27
knowledge,lfe_11_guess_server,0,defun,100,100,ok,3,1.0600,2,450,0.0300,487,37
knowledge,lfe_12_ping_pong,0,progn,100,100,ok,5,1.2693,5,505,0.0500,588,83
knowledge,lfe_13_get_page,0,defun,100,100,ok,4,1.2000,3,745,0.0400,810,65
knowledge,lfe_14_fish_closure,0,defun,100,100,ok,3,1.1592,3,471,0.0300,556,85
knowledge,lfe_15_fish_process,0,defun,100,100,ok,3,1.1495,3,455,0.0300,501,46
knowledge,lfe_16_account,0,defun,100,100,ok,3,1.1435,3,662,0.0300,792,130
knowledge,lfe_17_eval_expr,0,defun,100,100,ok,4,1.1719,3,733,0.0400,793,60
knowledge,lfe_18_parse_bitspecs,0,defun,100,100,ok,3,1.1802,3,605,0.0300,691,86
knowledge,lfe_19_eval_lambda,0,defun,100,100,ok,4,1.2137,4,613,0.0400,641,28
knowledge,lfe_20_eval_receive,0,defun,100,100,ok,3,1.0792,2,543,0.0300,658,115
stress,proper_list_24,0,-,40,40,ok,1,1.0000,1,95,0.0250,118,23
stress,proper_list_48,0,-,40,40,ok,1,1.0000,1,167,0.0250,190,23
stress,dotted_list_16,0,-,40,40,ok,1,1.0000,1,76,0.0250,99,23
stress,dotted_list_32,0,-,40,40,ok,1,1.0000,1,124,0.0250,147,23
stress,generic_call_24,0,-,40,40,ok,1,1.0000,1,89,0.0250,103,14
stress,generic_call_48,0,-,40,40,ok,1,1.0000,1,161,0.0250,175,14
stress,deep_sexp_8,0,-,40,40,ok,1,1.0000,1,32,0.0250,128,96
stress,deep_sexp_12,0,-,40,40,ok,1,1.0000,1,29,0.0250,122,93
stress,shared_concat_10,0,-,40,40,ok,1,1.0000,1,4,0.0250,15,11
stress,shared_choice_8,0,-,40,40,ok,2,1.5319,2,94,0.0500,114,20
stress,quote_tower_12,0,-,40,40,ok,2,1.2062,2,97,0.0500,99,2
stress,quote_tower_18,0,-,40,40,ok,1,1.0000,1,78,0.0250,104,26
stress,let_bindings_16,0,-,40,40,ok,3,1.3234,3,804,0.0750,852,48
stress,letstar_bindings_24,0,-,40,40,ok,3,1.3505,3,1107,0.0750,1153,46
stress,fletrec_bindings_12,0,-,40,40,ok,3,1.2689,3,714,0.0750,757,43
stress,nested_case_8,0,-,40,40,ok,2,1.0168,2,416,0.0500,756,340
stress,nested_receive_6,0,-,40,40,ok,2,1.1938,2,609,0.0500,870,261
stress,nested_cond_12,0,-,40,40,ok,2,1.0998,2,631,0.0500,651,20
stress,block_arg_match_lambda,0,-,40,40,ok,2,1.0647,2,170,0.0500,214,44
stress,block_arg_lambda,0,-,40,40,ok,2,1.0098,1,102,0.0500,112,10
stress,block_arg_case,0,-,40,40,ok,2,1.1156,2,147,0.0500,184,37
stress,block_arg_receive,0,-,40,40,ok,2,1.1241,2,137,0.0500,166,29
stress,nofit_text_80,0,-,40,40,ok,0,0.0000,0,0,0.0000,1,1
stress,nofit_text_180,0,-,40,40,ok,0,0.0000,0,0,0.0000,1,1
stress,tiny_width_call_30,0,-,40,40,ok,1,1.0000,1,4,0.0250,16,12
stress,proper_list_24,0,-,80,80,ok,1,1.0000,1,111,0.0125,150,39
stress,proper_list_48,0,-,80,80,ok,1,1.0000,1,183,0.0125,222,39
stress,dotted_list_16,0,-,80,80,ok,2,1.0078,1,129,0.0250,129,0
stress,dotted_list_32,0,-,80,80,ok,1,1.0000,1,140,0.0125,179,39
stress,generic_call_24,0,-,80,80,ok,1,1.0000,1,103,0.0125,131,28
stress,generic_call_48,0,-,80,80,ok,1,1.0000,1,175,0.0125,203,28
stress,deep_sexp_8,0,-,80,80,ok,3,1.2039,2,358,0.0375,408,50
stress,deep_sexp_12,0,-,80,80,ok,2,1.1975,2,481,0.0250,570,89
stress,shared_concat_10,0,-,80,80,ok,1,1.0000,1,11,0.0125,22,11
stress,shared_choice_8,0,-,80,80,ok,2,1.6578,2,187,0.0250,204,17
stress,quote_tower_12,0,-,80,80,ok,3,1.3333,3,99,0.0375,99,0
stress,quote_tower_18,0,-,80,80,ok,3,1.4054,3,111,0.0375,111,0
stress,let_bindings_16,0,-,80,80,ok,3,1.2962,3,915,0.0375,942,27
stress,letstar_bindings_24,0,-,80,80,ok,3,1.3276,3,1218,0.0375,1244,26
stress,fletrec_bindings_12,0,-,80,80,ok,3,1.2254,3,852,0.0375,896,44
