file,width,status,n_forms,bytes,lines,parse_us,fmt_us,worst_form_us,worst_form_index,worst_form_head,memo_size,calls,tainted,badness,dag_size,genericised
cl.lfe,60,ok,82,47989,1390,9632,30287,6840,1,defmodule,23166,29901,3952,6194377,22153,0
clj.lfe,60,ok,111,81819,1935,9666,25382,3881,6,eval-when-compile,22407,28984,4362,28029700,21481,0
andor_SUITE.lfe,60,ok,45,19571,443,5373,20200,2560,11,defun,26849,35983,4093,812532,13857,0
clj-tests.lfe,60,ok,89,26798,613,13252,24713,1229,74,deftest,32662,39689,5415,2734748,18262,0
eval_SUITE.lfe,60,ok,15,3141,53,1016,3581,851,11,defun,2794,3314,500,802801,2679,0
example_SUITE.lfe,60,ok,4,557,4,423,458,337,4,defun,280,328,125,57830,330,0
guard_SUITE.lfe,60,ok,79,44674,981,19830,49072,4642,16,defun,54303,71554,9975,21745695,32984,0
ltest-macros.lfe,60,ok,13,8711,236,938,4215,1415,12,eval-when-compile,4027,4963,786,543710,2795,0
maps-tests.lfe,60,ok,5,337,5,1329,287,106,4,deftest,335,365,21,4352,173,0
maybe_SUITE.lfe,60,ok,22,7942,127,1252,4951,491,22,defun,4839,6139,686,6208862,3703,0
ms_transform_SUITE.lfe,60,ok,36,12137,97,3023,8654,1130,23,defun,4638,5346,1123,5711077,8817,0
test_server.lfe,60,ok,4,375,11,378,776,502,1,defmacro,906,1027,115,0,380,0
tqstring_SUITE.lfe,60,ok,5,886,10,340,752,340,4,defun,660,770,186,132261,524,0
cl.lfe,80,ok,82,59148,1961,6027,25892,1420,36,defun,29090,36803,3289,3897542,22153,0
clj.lfe,80,ok,111,80808,1896,9396,25573,3722,6,eval-when-compile,24793,31587,3958,26699455,21481,0
andor_SUITE.lfe,80,ok,45,17786,384,5488,21760,2508,11,defun,31691,41879,3157,491401,13857,0
clj-tests.lfe,80,ok,89,28256,715,6037,26944,1504,20,deftest,40119,48492,4045,297711,18262,0
eval_SUITE.lfe,80,ok,15,3183,60,1014,4313,944,13,defun,4047,4774,525,683281,2679,0
example_SUITE.lfe,80,ok,4,557,4,448,446,322,4,defun,314,365,123,44914,330,0
guard_SUITE.lfe,80,ok,79,46529,1065,19391,51403,4651,34,defun,72419,95794,8677,6038273,32984,0
ltest-macros.lfe,80,ok,13,9263,256,944,4732,1607,12,eval-when-compile,4982,6008,754,432334,2795,0
maps-tests.lfe,80,ok,5,337,5,406,271,103,4,deftest,336,366,15,1936,173,0
maybe_SUITE.lfe,80,ok,22,7906,118,1208,4911,443,22,defun,5498,6883,733,6057146,3703,0
ms_transform_SUITE.lfe,80,ok,36,12093,91,3115,9162,1303,23,defun,4870,5594,1068,5374921,8817,0
test_server.lfe,80,ok,4,286,6,450,737,496,1,defmacro,981,1109,46,0,380,0
tqstring_SUITE.lfe,80,ok,5,870,8,349,740,321,4,defun,739,855,173,112905,524,0
cl.lfe,100,ok,82,58372,1915,5991,26913,1314,37,defun,31106,38956,3145,3535302,22153,0
clj.lfe,100,ok,111,82038,1989,9227,27453,3954,6,eval-when-compile,27354,34374,3560,25031454,21481,0
andor_SUITE.lfe,100,ok,45,17105,337,5475,25634,2661,11,defun,34012,44426,2431,463761,13857,0
clj-tests.lfe,100,ok,89,26362,640,5771,28931,1721,20,deftest,44398,53286,3466,22801,18262,0
eval_SUITE.lfe,100,ok,15,2981,58,983,4650,903,11,defun,5006,5867,460,594441,2679,0
example_SUITE.lfe,100,ok,4,557,4,434,457,329,4,defun,324,375,110,33794,330,0
guard_SUITE.lfe,100,ok,79,43965,881,19591,60079,5576,34,defun,79419,104132,6593,4456552,32984,0
ltest-macros.lfe,100,ok,13,9036,248,1011,4764,1604,12,eval-when-compile,5366,6420,649,385294,2795,0
maps-tests.lfe,100,ok,5,337,5,457,286,108,4,deftest,336,366,15,576,173,0
maybe_SUITE.lfe,100,ok,22,8120,123,1253,6066,827,22,defun,6668,8204,862,5873105,3703,0
ms_transform_SUITE.lfe,100,ok,36,12161,101,3146,9819,1648,19,defun,6934,8189,1120,4701712,8817,0
test_server.lfe,100,ok,4,286,6,571,775,506,1,defmacro,1041,1172,41,0,380,0
tqstring_SUITE.lfe,100,ok,5,870,8,377,777,337,4,defun,770,887,164,95345,524,0
