suite,id,label,category,width,limit,status,time_us,memo_size,calls,tainted,badness,height,bytes,lines,dag_size
lfe-sample,lfe_01_ackermann,ackermann/2 multi-clause defun,real-sample,60,60,ok,286,483,578,17,0,3,119,4,180
lfe-sample,lfe_02_fizz,fizz/3 string clauses,real-sample,60,60,ok,127,251,332,17,0,4,87,5,139
lfe-sample,lfe_03_buzz1,buzz1/1 guarded head,real-sample,60,60,ok,134,279,317,0,0,0,59,1,109
lfe-sample,lfe_04_tail_buzz,tail-buzz/2 tail recursion,real-sample,60,60,ok,191,392,452,17,0,2,118,3,154
lfe-sample,lfe_05_plusplus,++ macro with quasiquote/rest,real-sample,60,60,ok,138,307,349,29,0,3,77,4,121
lfe-sample,lfe_06_cond,cond macro expanding to if,real-sample,60,60,ok,271,457,527,39,0,4,147,5,181
lfe-sample,lfe_07_bq_expand,bq-expand inside eval-when-compile,real-sample,60,60,ok,612,838,961,133,0,9,296,10,287
lfe-sample,lfe_08_ets_new,ets-demo new/0 with match-lambda,real-sample,60,60,ok,257,563,637,112,0,8,258,9,217
lfe-sample,lfe_09_by_place_ms,by_place_ms/2 match-spec,real-sample,60,60,ok,109,250,290,26,0,1,89,2,123
lfe-sample,lfe_10_mnesia_new,mnesia-demo new/0 transaction,real-sample,60,60,ok,154,264,295,65,0,4,189,5,118
lfe-sample,lfe_11_guess_server,guess-server/1 receive loop,real-sample,60,60,ok,194,388,431,75,0,6,165,7,150
lfe-sample,lfe_12_ping_pong,ping-pong gen_server callbacks,real-sample,60,60,ok,303,486,558,98,0,6,199,7,179
lfe-sample,lfe_13_get_page,get-page/1 async httpc,real-sample,60,60,ok,436,669,773,90,0,8,292,9,265
lfe-sample,lfe_14_fish_closure,fish-class/3 closure object,real-sample,60,60,ok,276,436,492,73,0,8,249,9,179
lfe-sample,lfe_15_fish_process,fish-class/3 process loop,real-sample,60,60,ok,254,417,484,75,0,6,219,7,175
lfe-sample,lfe_16_account,account-class/3 cond receive,real-sample,60,60,ok,297,603,688,150,0,10,338,11,230
lfe-sample,lfe_17_eval_expr,eval-expr/2 central case,real-sample,60,60,ok,429,699,818,57,0,7,269,8,304
lfe-sample,lfe_18_parse_bitspecs,parse-bitspecs/3 let/case nesting,real-sample,60,60,ok,385,562,655,54,0,4,206,5,224
lfe-sample,lfe_19_eval_lambda,eval-lambda/2 arity dispatch,real-sample,60,60,ok,383,574,707,53,0,6,217,7,255
lfe-sample,lfe_20_eval_receive,eval-receive/2 fletrec + after,real-sample,60,60,ok,350,523,597,139,0,8,245,9,196
lfe-sample,lfe_01_ackermann,ackermann/2 multi-clause defun,real-sample,80,80,ok,321,513,611,21,0,3,119,4,180
lfe-sample,lfe_02_fizz,fizz/3 string clauses,real-sample,80,80,ok,127,280,363,0,0,0,79,1,139
